,popularity,revenue,vote_average
57,66.390712,521311860.0,7.8
58,22.57178,258022233.0,6.1
59,45.274225,769653595.0,5.6
60,39.744242,325233863.0,6.6
61,85.36908000000001,183987723.0,5.2
62,42.741719,356743061.0,5.5
63,67.391328,748806957.0,6.7
64,139.272042,543934787.0,6.4
65,187.322927,1004558444.0,8.2
66,92.201962,735099082.0,7.7
67,36.167578000000006,381509870.0,6.0
68,120.725053,585174222.0,7.4
69,32.319043,185770160.0,7.0
70,40.748915000000004,222104681.0,5.1
71,60.034162,401128639.0,5.2
72,90.23791999999999,745000000.0,5.9
73,27.082182,173000000.0,5.3
74,79.456485,370541256.0,7.6
75,44.640291999999995,264218220.0,5.9
76,32.852443,302469017.0,5.6
77,128.65596399999998,857611174.0,8.0
78,94.19931600000001,966550600.0,6.7
79,77.30019399999999,623933331.0,6.6
80,77.178973,396600000.0,5.8
81,110.62064699999999,758539785.0,7.0
82,243.79174300000003,710644566.0,7.3
83,2.418535,0.0,4.8
84,41.796339,150962475.0,5.9
85,72.22526500000001,714766572.0,7.6
86,44.041185999999996,752600867.0,6.0
87,130.311355,209154322.0,6.2
88,203.73459,652105443.0,7.8
89,62.341073,471222889.0,7.1
90,47.323228,305875730.0,6.4
91,48.775723,389681935.0,4.9
92,67.263269,494878759.0,7.5
93,69.405188,435000000.0,5.9
94,481.09862400000003,773328629.0,7.9
95,724.247784,675120017.0,8.1
96,167.58371,825532764.0,8.1
97,9.476999000000001,77000000.0,6.5
98,108.849621,1021103568.0,7.0
99,6.909942,207283925.0,6.6
100,60.269279000000004,333932083.0,7.3
101,3.195174,353624124.0,7.1
102,127.28442700000001,653428261.0,6.6
103,35.580815,215283742.0,5.8
104,21.133748,181674817.0,5.5
105,56.268916000000004,299370084.0,6.5
106,42.986467,798958165.0,6.0
107,63.148529,433677183.0,6.3
108,202.04263500000002,440603537.0,5.8
109,49.661984000000004,415686217.0,6.2
110,34.20669,449220945.0,6.6
111,25.468493,709709780.0,6.6
112,39.019228999999996,167298192.0,5.6
113,78.14439499999999,938212738.0,7.4
114,101.250416,895921036.0,7.5
115,56.758410999999995,624029371.0,6.2
116,70.867401,585349010.0,6.9
117,53.905592000000006,474968763.0,6.7
118,65.677399,623722818.0,7.5
119,115.040024,374218673.0,7.5
120,44.141021,603900354.0,6.2
121,81.781591,413106170.0,5.9
122,5.954333999999999,373062864.0,6.2
123,73.313918,424988211.0,6.4
124,165.12536599999999,1274219009.0,7.3
125,70.78591,738599701.0,6.7
126,99.499595,644571402.0,6.8
127,434.27856399999996,378858340.0,7.2
128,67.447636,356613439.0,6.5
129,86.493424,449326618.0,6.6
130,41.845878000000006,309979994.0,6.3
131,26.710397999999998,292817841.0,5.1
132,44.927634999999995,301000000.0,5.5
133,50.306728,245527149.0,5.7
134,114.52223700000002,682330139.0,7.1
135,21.214571,0.0,5.5
136,29.332905,287594577.0,5.7
137,51.247321,665692281.0,6.7
138,33.769335999999996,318502923.0,4.7
139,63.079003,397850012.0,6.5
140,39.004588,205366737.0,6.4
141,12.362599000000001,38992758.0,5.5
142,22.550135,64459316.0,6.0
143,48.03528,128388320.0,5.9
144,38.73494,272912430.0,6.7
145,66.803149,497409852.0,6.9
146,44.989191999999996,746921274.0,6.4
147,54.159392000000004,431971116.0,5.8
148,66.21806,229147509.0,5.3
149,58.485967,553799566.0,6.4
150,91.332849,441818803.0,6.0
151,35.601665000000004,195735876.0,5.5
152,56.747978,521170825.0,6.7
153,77.77476999999999,694713380.0,6.8
154,61.788035,306941670.0,7.1
155,25.159167999999998,202026112.0,5.9
156,52.341226,456758981.0,7.3
157,101.599427,268031828.0,5.6
158,73.61680799999999,385680446.0,7.4
