DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,IF_DELAY
0.0,1222,-7.0,0
1.0,2565,-20.0,0
-2.0,576,-9.0,0
-4.0,102,-2.0,0
31.0,421,17.0,1
131.0,776,144.0,1
8.0,191,0.0,0
0.0,2454,-32.0,0
-2.0,337,-14.0,0
-5.0,288,-1.0,0
2.0,401,7.0,0
0.0,602,4.0,0
8.0,1609,19.0,1
0.0,2586,-4.0,0
9.0,2300,13.0,1
-4.0,728,-3.0,0
-4.0,1145,-26.0,0
-5.0,1065,-10.0,0
-1.0,836,-9.0,0
-6.0,786,-22.0,0
4.0,819,0.0,0
-3.0,404,-21.0,0
7.0,868,8.0,0
-8.0,550,-17.0,0
-8.0,1045,11.0,1
0.0,853,-11.0,0
-3.0,679,-3.0,0
-3.0,867,0.0,0
-12.0,266,-16.0,0
-2.0,1069,-2.0,0
-8.0,354,-14.0,0
16.0,1197,28.0,1
-5.0,944,10.0,1
93.0,1189,88.0,1
-4.0,859,-26.0,0
56.0,356,39.0,1
-1.0,599,-2.0,0
8.0,936,19.0,1
-5.0,565,-24.0,0
-9.0,977,-19.0,0
2.0,533,6.0,0
57.0,641,52.0,1
-5.0,100,-1.0,0
-3.0,1187,9.0,0
5.0,627,-3.0,0
-5.0,1635,-2.0,0
-8.0,1065,-37.0,0
-7.0,196,2.0,0
-6.0,1084,7.0,0
-5.0,261,-9.0,0
-2.0,1167,-14.0,0
-5.0,1005,-21.0,0
0.0,642,4.0,0
-9.0,462,-23.0,0
-8.0,100,-4.0,0
-10.0,584,12.0,1
-3.0,222,-13.0,0
6.0,529,15.0,1
0.0,1999,-24.0,0
-5.0,2306,-29.0,0
-4.0,414,-20.0,0
-7.0,1121,-18.0,0
-7.0,868,-6.0,0
-5.0,1258,-17.0,0
-1.0,1592,-11.0,0
-2.0,671,-8.0,0
1.0,954,-4.0,0
-7.0,413,-24.0,0
10.0,2475,-11.0,0
-7.0,899,-14.0,0
-7.0,632,-35.0,0
-3.0,1797,-8.0,0
-2.0,666,-31.0,0
106.0,1276,93.0,1
15.0,1046,19.0,1
-3.0,528,-3.0,0
7.0,152,12.0,1
38.0,1096,40.0,1
-1.0,825,-15.0,0
-7.0,502,-25.0,0
-5.0,802,-4.0,0
-10.0,604,-29.0,0
-8.0,1068,-28.0,0
-4.0,1237,-20.0,0
29.0,262,28.0,1
-5.0,236,-9.0,0
-2.0,1739,-13.0,0
-2.0,1598,-23.0,0
6.0,163,11.0,1
-7.0,618,-10.0,0
-10.0,601,-5.0,0
14.0,1773,-7.0,0
136.0,447,116.0,1
-3.0,696,-7.0,0
-2.0,1020,-4.0,0
-2.0,187,-13.0,0
3.0,852,-6.0,0
-6.0,978,-5.0,0
-8.0,313,-23.0,0
76.0,1674,90.0,1
0.0,1065,8.0,0
-2.0,302,-13.0,0
-4.0,626,-10.0,0
-6.0,368,-13.0,0
-6.0,405,3.0,0
-7.0,532,16.0,1
-2.0,1123,-44.0,0
1.0,2139,-3.0,0
-4.0,1020,-4.0,0
-11.0,482,-24.0,0
-8.0,69,-11.0,0
8.0,925,36.0,1
6.0,468,9.0,0
-6.0,147,-12.0,0
2.0,391,14.0,1
-6.0,472,-12.0,0
164.0,213,161.0,1
-5.0,479,-20.0,0
-2.0,156,-9.0,0
-1.0,809,13.0,1
-3.0,588,-1.0,0
-4.0,113,11.0,1
-1.0,109,-5.0,0
-7.0,238,-10.0,0
16.0,351,56.0,1
-5.0,598,-15.0,0
-1.0,493,10.0,1
2.0,334,-19.0,0
3.0,802,-17.0,0
-4.0,516,-9.0,0
-1.0,216,1.0,0
12.0,1035,11.0,1
29.0,1041,-3.0,0
-6.0,965,-5.0,0
5.0,546,4.0,0
-7.0,1721,-28.0,0
3.0,973,-9.0,0
-2.0,1235,-2.0,0
11.0,1072,-4.0,0
0.0,2295,-23.0,0
-3.0,1728,-29.0,0
-5.0,647,-10.0,0
-2.0,853,-9.0,0
-5.0,2425,-42.0,0
-6.0,621,-9.0,0
-6.0,1562,-5.0,0
-8.0,1171,-24.0,0
-1.0,1235,-1.0,0
-7.0,956,-10.0,0
-8.0,700,10.0,1
3.0,749,-10.0,0
-7.0,404,-9.0,0
-1.0,931,6.0,0
1.0,878,24.0,1
0.0,448,-14.0,0
-11.0,908,-15.0,0
-4.0,933,-12.0,0
5.0,852,-5.0,0
10.0,541,9.0,0
-3.0,546,-7.0,0
0.0,594,3.0,0
16.0,854,20.0,1
-5.0,474,-11.0,0
-9.0,524,-12.0,0
-2.0,501,12.0,1
4.0,483,-2.0,0
-3.0,925,-15.0,0
-1.0,1400,-3.0,0
-3.0,201,-31.0,0
-9.0,631,-10.0,0
-1.0,1085,3.0,0
0.0,1199,-19.0,0
0.0,1444,11.0,1
-1.0,2402,-17.0,0
-3.0,1172,17.0,1
-5.0,936,7.0,0
164.0,1303,167.0,1
-7.0,936,-18.0,0
-7.0,1061,5.0,0
-6.0,247,-22.0,0
-11.0,1533,4.0,0
-1.0,1237,5.0,0
3.0,1249,3.0,0
-4.0,594,-19.0,0
44.0,936,36.0,1
-6.0,620,-35.0,0
-6.0,200,-11.0,0
-15.0,301,-25.0,0
-7.0,836,-6.0,0
-6.0,622,4.0,0
-3.0,455,12.0,1
-8.0,509,-11.0,0
-6.0,489,-4.0,0
-6.0,73,-9.0,0
-4.0,315,-10.0,0
-7.0,102,-9.0,0
-1.0,175,1.0,0
-1.0,1892,-19.0,0
11.0,783,5.0,0
-5.0,370,4.0,0
0.0,2133,22.0,1
0.0,449,-2.0,0
28.0,140,20.0,1
76.0,2565,55.0,1
-11.0,192,-6.0,0
4.0,1733,-9.0,0
-1.0,1237,3.0,0
2.0,2556,-15.0,0
-7.0,449,-1.0,0
-2.0,2153,5.0,0
-7.0,304,7.0,0
164.0,325,156.0,1
-6.0,650,-11.0,0
-4.0,1144,8.0,0
-3.0,1372,10.0,1
-8.0,548,-10.0,0
-3.0,1050,-9.0,0
-6.0,933,-8.0,0
-3.0,2475,4.0,0
-1.0,950,-30.0,0
-2.0,1074,-17.0,0
19.0,496,2.0,0
-2.0,2586,-20.0,0
-4.0,907,-16.0,0
-5.0,813,-22.0,0
2.0,1184,-7.0,0
-2.0,594,-31.0,0
-6.0,1183,-3.0,0
1.0,2182,13.0,1
-1.0,746,-38.0,0
-1.0,406,-15.0,0
0.0,270,1.0,0
-1.0,100,-7.0,0
0.0,820,-13.0,0
-7.0,376,-5.0,0
80.0,1506,69.0,1
17.0,1607,9.0,0
4.0,641,17.0,1
-2.0,895,-6.0,0
-10.0,109,-16.0,0
-9.0,466,10.0,1
-7.0,394,7.0,0
-6.0,674,-9.0,0
7.0,447,-4.0,0
0.0,1535,12.0,1
0.0,425,-1.0,0
-2.0,1012,-5.0,0
-5.0,589,-17.0,0
-5.0,100,-6.0,0
-8.0,1182,2.0,0
-10.0,67,-25.0,0
-2.0,1197,19.0,1
-8.0,2378,-23.0,0
-1.0,874,-10.0,0
-3.0,1751,-6.0,0
-7.0,255,-13.0,0
13.0,918,8.0,0
-8.0,1067,-27.0,0
-12.0,592,-9.0,0
-6.0,1050,-8.0,0
-7.0,933,-12.0,0
-10.0,689,-10.0,0
-6.0,1072,8.0,0
-11.0,1056,-26.0,0
21.0,2248,45.0,1
-3.0,442,-17.0,0
-2.0,526,-41.0,0
-3.0,1532,-10.0,0
-7.0,692,-20.0,0
-9.0,243,-1.0,0
0.0,838,-13.0,0
-6.0,1068,-15.0,0
-5.0,1576,-2.0,0
-3.0,284,-17.0,0
-3.0,468,-8.0,0
-3.0,361,-2.0,0
8.0,529,-9.0,0
-3.0,813,-19.0,0
-4.0,861,-16.0,0
-1.0,2173,-15.0,0
-5.0,1524,-12.0,0
-7.0,1444,-16.0,0
0.0,386,-5.0,0
-1.0,2227,-37.0,0
3.0,719,2.0,0
-7.0,624,-3.0,0
-4.0,1158,-7.0,0
-8.0,93,14.0,1
3.0,834,-5.0,0
-4.0,987,-16.0,0
-1.0,834,-7.0,0
-7.0,1660,10.0,1
67.0,584,50.0,1
-6.0,1194,20.0,1
0.0,515,-8.0,0
-6.0,1010,-11.0,0
-2.0,950,-7.0,0
-4.0,1589,-5.0,0
-2.0,354,-11.0,0
16.0,190,14.0,1
-1.0,383,8.0,0
3.0,293,-10.0,0
-6.0,489,11.0,1
-3.0,710,-1.0,0
108.0,1076,97.0,1
-2.0,594,-11.0,0
3.0,1127,-16.0,0
-2.0,817,-3.0,0
3.0,108,17.0,1
-6.0,833,-20.0,0
0.0,313,-16.0,0
-8.0,1379,-22.0,0
8.0,1346,-15.0,0
33.0,473,37.0,1
-7.0,337,-16.0,0
4.0,793,-26.0,0
3.0,296,-2.0,0
0.0,1142,-18.0,0
-1.0,1073,-29.0,0
-3.0,1407,-25.0,0
-4.0,761,2.0,0
0.0,338,-12.0,0
-4.0,1389,-3.0,0
-4.0,1514,-18.0,0
-4.0,806,-12.0,0
29.0,1501,16.0,1
0.0,1205,-14.0,0
33.0,919,31.0,1
-7.0,187,-12.0,0
-3.0,632,-12.0,0
-3.0,726,-23.0,0
-4.0,1919,-21.0,0
-6.0,581,-19.0,0
-3.0,1522,-8.0,0
-1.0,762,8.0,0
-1.0,134,-26.0,0
-3.0,214,-20.0,0
-3.0,2446,-31.0,0
-1.0,597,-5.0,0
32.0,423,28.0,1
26.0,680,16.0,1
-3.0,628,8.0,0
-7.0,846,-8.0,0
-3.0,693,-9.0,0
4.0,925,-11.0,0
-8.0,643,8.0,0
-9.0,624,-11.0,0
-8.0,230,-14.0,0
12.0,372,-1.0,0
16.0,370,2.0,0
-4.0,689,7.0,0
-10.0,200,7.0,0
-6.0,228,1.0,0
-8.0,163,-6.0,0
-3.0,158,-7.0,0
-2.0,1535,-9.0,0
61.0,651,48.0,1
3.0,366,-9.0,0
-3.0,930,-13.0,0
-7.0,787,-34.0,0
-3.0,425,-16.0,0
4.0,879,4.0,0
-5.0,1182,0.0,0
-10.0,2075,16.0,1
-6.0,337,-7.0,0
-9.0,432,-13.0,0
-5.0,1562,2.0,0
-3.0,190,-15.0,0
70.0,929,70.0,1
3.0,1021,-15.0,0
-9.0,1235,-1.0,0
-3.0,697,-14.0,0
-1.0,859,-10.0,0
-13.0,763,-18.0,0
-6.0,605,-14.0,0
-2.0,353,-9.0,0
0.0,2475,-11.0,0
8.0,164,-1.0,0
1.0,151,-8.0,0
-6.0,409,-5.0,0
10.0,522,-10.0,0
-4.0,436,-5.0,0
34.0,1012,14.0,1
71.0,1269,55.0,1
0.0,298,11.0,1
1.0,200,-16.0,0
47.0,216,53.0,1
-3.0,1089,-7.0,0
22.0,1749,26.0,1
-4.0,1085,-15.0,0
2.0,1303,-10.0,0
-1.0,224,-1.0,0
-10.0,257,-13.0,0
-1.0,507,-7.0,0
-1.0,997,-1.0,0
-4.0,528,-30.0,0
-4.0,404,-4.0,0
0.0,580,3.0,0
1.0,1188,-20.0,0
-4.0,992,-24.0,0
-2.0,2176,-8.0,0
4.0,1709,1.0,0
-5.0,2611,-33.0,0
-8.0,1389,-22.0,0
-8.0,1217,2.0,0
-3.0,2586,-9.0,0
-2.0,297,-10.0,0
-3.0,1426,-12.0,0
-4.0,759,-8.0,0
-10.0,301,-22.0,0
-3.0,1299,-41.0,0
-1.0,404,-7.0,0
-8.0,316,-13.0,0
24.0,373,3.0,0
2.0,510,-19.0,0
17.0,1118,35.0,1
0.0,2400,-5.0,0
-3.0,2454,-5.0,0
-4.0,331,-15.0,0
-1.0,937,-7.0,0
-6.0,919,-20.0,0
0.0,2586,-24.0,0
-4.0,1028,-23.0,0
-1.0,762,-31.0,0
-1.0,261,-11.0,0
10.0,723,1.0,0
-2.0,550,-17.0,0
-1.0,997,-19.0,0
-5.0,328,-20.0,0
-8.0,430,-24.0,0
-6.0,650,-7.0,0
-4.0,912,-9.0,0
-3.0,427,-17.0,0
-5.0,936,2.0,0
-2.0,733,-5.0,0
-4.0,1597,-16.0,0
0.0,867,13.0,1
-1.0,2565,-12.0,0
1.0,846,7.0,0
-2.0,1635,-17.0,0
-5.0,2475,2.0,0
-1.0,414,-6.0,0
0.0,1165,-3.0,0
-2.0,1246,-11.0,0
-5.0,2106,-14.0,0
0.0,1737,7.0,0
-5.0,1184,12.0,1
4.0,1092,-2.0,0
3.0,793,-4.0,0
-1.0,997,-14.0,0
-4.0,349,-23.0,0
-2.0,834,-22.0,0
-5.0,822,-16.0,0
0.0,849,-6.0,0
6.0,1605,13.0,1
-2.0,1440,-5.0,0
-2.0,226,-11.0,0
1.0,507,1.0,0
-1.0,735,2.0,0
1.0,1979,5.0,0
-11.0,2475,6.0,0
-4.0,594,-10.0,0
-10.0,2475,-49.0,0
3.0,2585,-4.0,0
-7.0,2611,10.0,1
-3.0,2174,6.0,0
-8.0,631,4.0,0
-2.0,733,-2.0,0
45.0,1313,45.0,1
-1.0,867,5.0,0
-4.0,1055,-6.0,0
83.0,964,112.0,1
-5.0,985,-11.0,0
-2.0,2218,-9.0,0
-4.0,1258,-15.0,0
-4.0,929,-10.0,0
-4.0,1660,24.0,1
-5.0,731,-25.0,0
-4.0,1096,-20.0,0
1.0,2402,4.0,0
-5.0,1399,-14.0,0
-7.0,1448,-15.0,0
-9.0,421,-19.0,0
-9.0,679,-8.0,0
-5.0,569,-5.0,0
-2.0,129,9.0,0
-5.0,954,-15.0,0
-4.0,954,-6.0,0
-15.0,978,-20.0,0
124.0,937,120.0,1
-1.0,867,-7.0,0
-7.0,1009,-20.0,0
17.0,590,5.0,0
-3.0,2603,-17.0,0
-4.0,2541,24.0,1
-11.0,2457,-18.0,0
-7.0,2611,-34.0,0
-10.0,399,-37.0,0
-3.0,2588,-7.0,0
-8.0,759,-21.0,0
133.0,1010,131.0,1
-11.0,846,-20.0,0
-4.0,1609,-10.0,0
0.0,1698,-6.0,0
-6.0,994,-23.0,0
12.0,954,-4.0,0
-3.0,2454,-28.0,0
2.0,2475,-10.0,0
-8.0,1927,-23.0,0
1.0,2079,-5.0,0
3.0,547,-21.0,0
1.0,516,4.0,0
-2.0,366,-14.0,0
-1.0,545,-3.0,0
-3.0,991,-6.0,0
-4.0,1399,-17.0,0
0.0,861,-20.0,0
-1.0,1276,-18.0,0
-3.0,1035,-31.0,0
-3.0,1080,-17.0,0
-3.0,1096,-2.0,0
-1.0,554,-33.0,0
-4.0,1035,13.0,1
-1.0,1598,-11.0,0
7.0,669,-8.0,0
-13.0,612,21.0,1
0.0,2586,-17.0,0
0.0,1076,-11.0,0
-7.0,1979,-22.0,0
-6.0,2248,-35.0,0
4.0,1501,-26.0,0
-1.0,1416,-20.0,0
117.0,944,117.0,1
-3.0,315,-11.0,0
7.0,201,12.0,1
4.0,551,6.0,0
-8.0,254,-26.0,0
-6.0,220,-9.0,0
-2.0,849,3.0,0
-11.0,1440,10.0,1
1.0,1025,-17.0,0
62.0,1546,58.0,1
-2.0,1546,-1.0,0
4.0,624,10.0,1
-5.0,738,-22.0,0
25.0,581,17.0,1
-5.0,977,-12.0,0
-5.0,956,-2.0,0
43.0,1222,29.0,1
12.0,177,16.0,1
4.0,1237,10.0,1
4.0,125,-1.0,0
-10.0,326,-1.0,0
21.0,626,30.0,1
-4.0,163,-1.0,0
-13.0,129,7.0,0
-4.0,262,1.0,0
10.0,1437,8.0,0
-4.0,320,-41.0,0
-5.0,73,-8.0,0
4.0,888,-2.0,0
24.0,1440,58.0,1
4.0,305,-1.0,0
-1.0,1025,-28.0,0
-9.0,253,1.0,0
-1.0,763,2.0,0
1.0,925,8.0,0
29.0,522,27.0,1
8.0,1846,-12.0,0
-3.0,2586,-12.0,0
-2.0,1173,-14.0,0
-5.0,925,-12.0,0
0.0,829,-10.0,0
-2.0,1209,-30.0,0
-6.0,925,-9.0,0
-6.0,2039,3.0,0
0.0,990,-26.0,0
4.0,1642,8.0,0
29.0,496,30.0,1
-2.0,842,-18.0,0
-7.0,639,-9.0,0
-7.0,2434,-51.0,0
-8.0,130,23.0,1
2.0,1460,1.0,0
-1.0,1999,23.0,1
-6.0,1171,-15.0,0
-4.0,1739,-9.0,0
-4.0,1212,10.0,1
5.0,175,22.0,1
-2.0,2342,-8.0,0
-4.0,1089,-7.0,0
8.0,1440,-10.0,0
24.0,761,26.0,1
-7.0,926,-14.0,0
-5.0,231,-12.0,0
-10.0,387,-12.0,0
-3.0,319,-8.0,0
-2.0,484,-21.0,0
-2.0,1020,-22.0,0
-4.0,1096,-32.0,0
0.0,2422,-22.0,0
-2.0,1956,-28.0,0
-2.0,1590,-16.0,0
-2.0,1298,-6.0,0
-7.0,453,-32.0,0
-6.0,1076,-24.0,0
8.0,737,21.0,1
0.0,557,-20.0,0
-13.0,748,-20.0,0
-5.0,308,-18.0,0
-3.0,590,-8.0,0
-3.0,301,-6.0,0
107.0,102,111.0,1
-2.0,944,4.0,0
-2.0,192,8.0,0
-4.0,1121,29.0,1
-6.0,100,-6.0,0
-3.0,1222,-7.0,0
51.0,3801,56.0,1
-3.0,2556,-2.0,0
-4.0,290,-4.0,0
-1.0,1342,-25.0,0
-1.0,549,-27.0,0
15.0,930,-3.0,0
-1.0,1381,-29.0,0
-4.0,226,-15.0,0
-1.0,1182,-7.0,0
33.0,1706,22.0,1
32.0,602,25.0,1
-1.0,1814,-2.0,0
-5.0,1849,-17.0,0
-7.0,1464,-3.0,0
11.0,868,-3.0,0
9.0,641,-1.0,0
-4.0,627,-8.0,0
-1.0,956,-8.0,0
-6.0,1927,-26.0,0
-2.0,447,-18.0,0
-2.0,373,-3.0,0
-2.0,1185,-19.0,0
-4.0,432,-38.0,0
-1.0,224,-3.0,0
-2.0,1476,14.0,1
-8.0,234,-25.0,0
-1.0,402,-10.0,0
-3.0,983,5.0,0
42.0,1013,30.0,1
-3.0,1619,-8.0,0
-3.0,277,-2.0,0
-7.0,1226,-7.0,0
-3.0,1076,19.0,1
15.0,1045,2.0,0
-5.0,1299,-18.0,0
4.0,100,2.0,0
-3.0,1598,-34.0,0
1.0,925,-29.0,0
0.0,2161,-28.0,0
0.0,2296,-9.0,0
0.0,651,11.0,1
-1.0,679,-27.0,0
27.0,649,32.0,1
-1.0,1587,-7.0,0
2.0,1771,-16.0,0
-5.0,562,-6.0,0
1.0,1052,-18.0,0
-5.0,990,-16.0,0
-6.0,417,-8.0,0
0.0,1107,-8.0,0
-6.0,1371,-23.0,0
-4.0,937,-23.0,0
-3.0,1587,-8.0,0
-7.0,622,-3.0,0
-3.0,1023,-1.0,0
4.0,1121,-3.0,0
32.0,2585,21.0,1
-5.0,2422,-19.0,0
4.0,551,-5.0,0
-2.0,1096,-1.0,0
75.0,1197,72.0,1
44.0,1242,31.0,1
